timestamp_us,ax,ay,az,gx,gy,gz,mx,my,mz,pressure_pa,temperature_c,baro_altitude_m,lat,lon,speed_kmh,altitude_m,gps_h,gps_m,gps_s,gps_cs,satellites,hdop,heading_deg
179088268,5.779182,-7.038963,5.599556,-0.084469,0.040369,-0.010392,-0.435333,1.067667,-0.062667,99127.617,9.650,184.575,37.4628743,126.9586408,0.37,139.000,16,11,38,56,12,0.77,63.12
179092854,5.726492,-7.084468,5.728887,-0.083536,0.044366,-0.010525,-0.442333,1.067000,-0.062667,99126.180,9.650,184.697,37.4628743,126.9586408,0.37,139.000,16,11,38,56,12,0.77,63.12
179130123,5.702542,-7.046148,5.661827,-0.085135,0.041035,-0.009593,-0.440000,1.065333,-0.064333,99126.180,9.650,184.697,37.4628743,126.9586408,0.31,139.000,16,11,38,60,12,0.77,63.12
179134693,5.798343,-7.153924,5.518125,-0.086467,0.042101,-0.006395,-0.438667,1.067667,-0.066667,99126.180,9.650,184.697,37.4628743,126.9586408,0.31,139.000,16,11,38,60,12,0.77,63.12
179170022,5.779182,-7.084468,5.587581,-0.086334,0.041701,-0.010792,-0.432667,1.070333,-0.058333,99126.609,9.650,184.660,37.4628743,126.9586410,0.33,139.000,16,11,38,64,12,0.77,63.12
179174605,5.863008,-7.026988,5.568420,-0.082603,0.040902,-0.007061,-0.433667,1.068667,-0.059000,99126.609,9.650,184.660,37.4628743,126.9586410,0.33,139.000,16,11,38,64,12,0.77,63.12
179209554,5.788763,-7.082073,5.616321,-0.083802,0.043300,-0.009193,-0.437667,1.068667,-0.062000,99126.609,9.650,184.660,37.4628743,126.9586410,0.26,139.000,16,11,38,68,12,0.77,63.12
179214147,5.745652,-7.034173,5.642666,-0.083136,0.041835,-0.007328,-0.437667,1.068667,-0.062000,99126.609,9.650,184.660,37.4628743,126.9586410,0.26,139.000,16,11,38,68,12,0.77,63.12
179249922,5.745652,-7.091653,5.635481,-0.082603,0.041035,-0.009326,-0.435333,1.067000,-0.061000,99129.461,9.650,184.418,37.4628743,126.9586410,0.28,139.000,16,11,38,72,12,0.77,63.12
179254504,5.762417,-7.132369,5.575606,-0.084868,0.042900,-0.009459,-0.435333,1.067000,-0.061000,99129.461,9.650,184.418,37.4628743,126.9586410,0.28,139.000,16,11,38,72,12,0.77,63.12
179289945,5.783972,-7.060518,5.692962,-0.085268,0.040902,-0.005995,-0.437000,1.067000,-0.060000,99125.938,9.650,184.717,37.4628745,126.9586410,0.43,139.000,16,11,38,76,12,0.77,63.12
179294494,5.666616,-7.024592,5.633086,-0.085135,0.043167,-0.007994,-0.437000,1.067000,-0.060000,99125.938,9.650,184.717,37.4628745,126.9586410,0.43,139.000,16,11,38,76,12,0.77,63.12
179329478,5.755232,-7.072493,5.580396,-0.084602,0.038770,-0.006129,-0.439000,1.067667,-0.064333,99125.938,9.650,184.717,37.4628745,126.9586412,0.5,139.000,16,11,38,80,12,0.77,63.12
179334025,5.757627,-7.007827,5.683382,-0.084069,0.039969,-0.007727,-0.437667,1.067000,-0.063667,99125.938,9.650,184.717,37.4628745,126.9586412,0.5,139.000,16,11,38,80,12,0.77,63.12
179369940,5.733677,-7.048543,5.544470,-0.085801,0.041568,-0.007727,-0.438667,1.065333,-0.062667,99128.125,9.650,184.532,37.4628745,126.9586412,0.5,139.000,16,11,38,84,12,0.77,63.12
179374534,5.788763,-7.046148,5.652246,-0.084335,0.041701,-0.008660,-0.435333,1.064333,-0.063667,99128.125,9.650,184.532,37.4628745,126.9586412,0.5,139.000,16,11,38,84,12,0.77,63.12
179409414,5.786367,-7.096443,5.561235,-0.082337,0.040769,-0.007594,-0.438667,1.066000,-0.059000,99128.125,9.650,184.532,37.4628745,126.9586412,0.26,139.000,16,11,38,88,12,0.77,63.12
179414013,5.791157,-7.029383,5.685777,-0.085668,0.041968,-0.010259,-0.435333,1.070333,-0.062000,99129.891,9.640,184.382,37.4628745,126.9586412,0.26,139.000,16,11,38,88,12,0.85,63.12
179449338,5.750442,-7.010222,5.587581,-0.086600,0.041168,-0.005862,-0.439000,1.068667,-0.060000,99129.891,9.640,184.382,37.4628745,126.9586412,0.3,139.000,16,11,38,92,12,0.85,63.12
179453926,5.745652,-7.086863,5.647456,-0.081138,0.042101,-0.009992,-0.437667,1.063667,-0.065667,99129.891,9.640,184.382,37.4628745,126.9586412,0.3,139.000,16,11,38,92,12,0.85,63.12
179496202,5.745652,-7.079678,5.628296,-0.084602,0.041568,-0.009326,-0.437000,1.067000,-0.062000,99130.641,9.650,184.318,37.4628745,126.9586413,0.5,139.000,16,11,38,96,12,0.85,63.12
179500797,5.752837,-7.055728,5.671406,-0.084735,0.040636,-0.008793,-0.437000,1.067000,-0.062000,99130.641,9.650,184.318,37.4628745,126.9586413,0.5,139.000,16,11,38,96,12,0.85,63.12
179528353,5.755232,-7.043753,5.637876,-0.083669,0.040636,-0.007994,-0.439000,1.073667,-0.062000,99130.641,9.650,184.318,37.4628745,126.9586413,0.59,139.000,16,11,39,0,12,0.85,63.12
179532952,5.695357,-7.070098,5.484595,-0.084202,0.040636,-0.009326,-0.439000,1.065333,-0.062000,99130.641,9.650,184.318,37.4628745,126.9586413,0.59,139.000,16,11,39,0,12,0.85,63.12
179569188,5.736072,-7.050938,5.616321,-0.085135,0.043034,-0.007861,-0.437000,1.064333,-0.062000,99128.031,9.650,184.540,37.4628745,126.9586413,0.46,139.000,16,11,39,4,12,0.85,63.12
179573754,5.752837,-7.055728,5.652246,-0.082870,0.042634,-0.008394,-0.435333,1.068667,-0.059000,99128.031,9.650,184.540,37.4628745,126.9586413,0.46,139.000,16,11,39,4,12,0.85,63.12
179611441,5.795948,-7.050938,5.721702,-0.085401,0.037571,-0.009193,-0.438667,1.067000,-0.064333,99128.453,9.650,184.504,37.4628745,126.9586412,0.24,139.000,16,11,39,8,12,0.85,63.12
179616011,5.769602,-7.062913,5.606741,-0.081404,0.040902,-0.009459,-0.440667,1.068667,-0.067333,99128.453,9.650,184.504,37.4628745,126.9586412,0.24,139.000,16,11,39,8,12,0.77,63.12
179650088,5.750442,-7.065308,5.623506,-0.084335,0.042634,-0.007461,-0.437000,1.063667,-0.068333,99128.453,9.650,184.504,37.4628745,126.9586412,0.11,139.000,16,11,39,12,12,0.77,63.12
179654698,5.707332,-7.041358,5.599556,-0.083536,0.042767,-0.007328,-0.435333,1.062667,-0.065667,99128.453,9.650,184.504,37.4628745,126.9586412,0.11,139.000,16,11,39,12,12,0.85,63.12
179690012,5.786367,-7.036568,5.611531,-0.084202,0.041835,-0.007061,-0.439000,1.067000,-0.064333,99129.461,9.650,184.418,37.4628745,126.9586412,0.07,139.000,16,11,39,16,12,0.85,63.12
179694590,5.807923,-7.110813,5.532495,-0.084735,0.041168,-0.009726,-0.439000,1.070333,-0.063667,99129.461,9.650,184.418,37.4628745,126.9586412,0.07,139.000,16,11,39,16,12,0.85,63.12
179730566,5.760022,-7.050938,5.726492,-0.085934,0.039969,-0.006795,-0.438667,1.068667,-0.062667,99129.461,9.650,184.418,37.4628745,126.9586412,0.09,139.000,16,11,39,20,12,0.85,63.12
179735129,5.786367,-7.034173,5.573211,-0.085002,0.042501,-0.009060,-0.439000,1.068667,-0.063667,99128.203,9.640,184.525,37.4628745,126.9586412,0.09,139.000,16,11,39,20,12,0.85,63.12
179770343,5.719307,-7.024592,5.556446,-0.084735,0.041168,-0.008260,-0.435333,1.070333,-0.062000,99128.203,9.640,184.525,37.4628745,126.9586412,0.22,139.000,16,11,39,24,12,0.85,63.12
179774937,5.757627,-7.070098,5.714517,-0.085002,0.038770,-0.009326,-0.435333,1.064333,-0.062667,99128.203,9.640,184.525,37.4628745,126.9586412,0.22,139.000,16,11,39,24,12,0.85,63.12
179810148,5.757627,-7.048543,5.611531,-0.088066,0.042234,-0.009859,-0.439000,1.067000,-0.066667,99126.516,9.650,184.668,37.4628745,126.9586413,0.33,139.000,16,11,39,28,12,0.85,63.12
179814728,5.774392,-7.041358,5.561235,-0.085002,0.043034,-0.008660,-0.437667,1.066000,-0.063667,99126.516,9.650,184.668,37.4628745,126.9586413,0.33,139.000,16,11,39,28,12,0.85,63.12
179850642,5.757627,-7.094048,5.704937,-0.083270,0.041701,-0.007994,-0.437667,1.070333,-0.066667,99126.516,9.650,184.668,37.4628745,126.9586413,0.35,139.000,16,11,39,32,12,0.85,63.12
179855216,5.779182,-7.036568,5.630691,-0.086067,0.040636,-0.011325,-0.438667,1.072000,-0.066667,99126.516,9.650,184.668,37.4628745,126.9586413,0.35,139.000,16,11,39,32,12,0.85,63.12
179890529,5.791157,-7.084468,5.616321,-0.087400,0.041835,-0.009459,-0.439000,1.065333,-0.063667,99123.508,9.640,184.923,37.4628745,126.9586413,0.33,139.000,16,11,39,36,12,0.85,63.12
179895118,5.762417,-6.998247,5.736072,-0.084735,0.039836,-0.009859,-0.437667,1.067667,-0.068333,99123.508,9.640,184.923,37.4628745,126.9586413,0.33,139.000,16,11,39,36,12,0.85,63.12
179929996,5.764812,-7.060518,5.544470,-0.084469,0.040236,-0.008660,-0.437667,1.064333,-0.063667,99125.266,9.650,184.774,37.4628745,126.9586413,0.28,139.000,16,11,39,40,12,0.85,63.12
179934602,5.755232,-7.077283,5.573211,-0.084868,0.043034,-0.008260,-0.437667,1.064333,-0.063667,99125.266,9.650,184.774,37.4628745,126.9586413,0.28,139.000,16,11,39,40,12,0.77,63.12
179969679,5.807923,-7.007827,5.671406,-0.083936,0.040502,-0.010658,-0.437000,1.065333,-0.071000,99125.266,9.650,184.774,37.4628745,126.9586415,0.37,139.000,16,11,39,44,12,0.77,63.12
179974252,5.764812,-7.067703,5.585186,-0.085135,0.036505,-0.007328,-0.437000,1.066000,-0.061000,99125.266,9.650,184.774,37.4628745,126.9586415,0.37,139.000,16,11,39,44,12,0.85,63.12
180009157,5.688172,-7.091653,5.702542,-0.081538,0.041835,-0.009193,-0.440667,1.064333,-0.060000,99127.375,9.640,184.595,37.4628745,126.9586415,0.33,139.000,16,11,39,48,12,0.85,63.12
180013763,5.740862,-7.022198,5.637876,-0.084735,0.042101,-0.008260,-0.439000,1.067000,-0.065667,99127.375,9.640,184.595,37.4628745,126.9586415,0.33,139.000,16,11,39,48,12,0.85,63.12
180049153,5.783972,-7.046148,5.568420,-0.084202,0.040902,-0.006395,-0.437000,1.067000,-0.067333,99127.375,9.640,184.595,37.4628747,126.9586415,0.2,139.000,16,11,39,52,12,0.85,63.12
180053640,5.791157,-7.079678,5.551655,-0.083669,0.040369,-0.008926,-0.432667,1.065333,-0.064333,99127.375,9.640,184.595,37.4628747,126.9586415,0.2,139.000,16,11,39,52,12,0.77,63.12
180089271,5.733677,-7.022198,5.597161,-0.083536,0.041168,-0.007861,-0.437000,1.071000,-0.062667,99126.867,9.640,184.638,37.4628747,126.9586415,0.33,139.000,16,11,39,56,12,0.77,63.12
180093842,5.748047,-7.029383,5.513335,-0.083136,0.042368,-0.008394,-0.440000,1.067667,-0.064333,99126.867,9.640,184.638,37.4628747,126.9586415,0.33,139.000,16,11,39,56,12,0.77,63.12
