# Real IMU Data from ESP32
# Format: timestamp_us,ax,ay,az,gx,gy,gz,mx,my,mz,pressure_pa,temperature_c,baro_altitude_m,lat,lon,speed_kmh,altitude_m,gps_time,satellites,hdop,heading_deg
# Recorded: 2025-11-13 00:54:07
128165953,5.726492,-7.026988,5.690567,-0.084469,0.043300,-0.007727,-0.440000,1.062667,-0.062667,98846.31,10.77,208.44,37.46281233,126.95850350,0.20,146.50,15:54:06.52,12,0.87,0.00
128170210,5.788763,-7.038963,5.539680,-0.083802,0.039703,-0.009459,-0.437000,1.062333,-0.062667,98846.31,10.77,208.44,37.46281233,126.95850350,0.20,146.50,15:54:06.52,12,0.87,0.00
128207729,5.731282,-7.070098,5.606741,-0.083270,0.040103,-0.007461,-0.438667,1.062333,-0.066667,98845.55,10.77,208.51,37.46281217,126.95850333,0.04,146.50,15:54:06.56,12,0.87,0.00
128212009,5.795948,-7.022198,5.652246,-0.087000,0.042501,-0.009593,-0.438667,1.062667,-0.067333,98845.55,10.77,208.51,37.46281217,126.95850333,0.04,146.50,15:54:06.56,12,0.87,0.00
128247951,5.731282,-7.082073,5.566026,-0.083536,0.041835,-0.006395,-0.437667,1.065333,-0.063667,98845.55,10.77,208.51,37.46281217,126.95850333,0.11,146.50,15:54:06.60,12,0.87,0.00
128252245,5.786367,-7.043753,5.551655,-0.084868,0.041835,-0.009726,-0.439000,1.064333,-0.063667,98845.55,10.77,208.51,37.46281217,126.95850333,0.11,146.50,15:54:06.60,12,0.87,0.00
128287937,5.769602,-7.106023,5.613926,-0.085401,0.041435,-0.009859,-0.437000,1.062667,-0.063667,98846.58,10.76,208.42,37.46281217,126.95850333,0.24,146.50,15:54:06.64,12,0.87,0.00
128292178,5.755232,-7.043753,5.645061,-0.085002,0.043567,-0.009459,-0.439000,1.060667,-0.062667,98846.58,10.76,208.42,37.46281217,126.95850333,0.24,146.50,15:54:06.64,12,0.87,0.00
128328260,5.733677,-7.019803,5.647456,-0.082470,0.042634,-0.007994,-0.435333,1.062333,-0.057333,98846.58,10.76,208.42,37.46281217,126.95850333,0.11,146.50,15:54:06.68,12,0.87,0.00
128332500,5.762417,-7.108418,5.542076,-0.085135,0.038637,-0.009859,-0.439000,1.069333,-0.059000,98845.06,10.76,208.55,37.46281217,126.95850333,0.11,146.50,15:54:06.68,12,0.87,0.00
128367662,5.812713,-7.065308,5.695357,-0.085534,0.041568,-0.007727,-0.440000,1.064333,-0.062000,98845.06,10.76,208.55,37.46281217,126.95850333,0.04,146.50,15:54:06.72,12,0.87,0.00
128371928,5.781578,-7.050938,5.645061,-0.085135,0.039836,-0.010259,-0.436000,1.066000,-0.064333,98845.06,10.76,208.55,37.46281217,126.95850333,0.04,146.50,15:54:06.72,12,0.87,0.00
128407593,5.745652,-7.091653,5.580396,-0.087533,0.042234,-0.008394,-0.437667,1.061667,-0.062000,98843.98,10.76,208.64,37.46281217,126.95850333,0.06,146.50,15:54:06.76,12,0.87,0.00
128411880,5.781578,-7.043753,5.589976,-0.085002,0.041568,-0.007328,-0.436000,1.065333,-0.061000,98843.98,10.76,208.64,37.46281217,126.95850333,0.06,146.50,15:54:06.76,12,0.87,0.00
128447779,5.743257,-7.050938,5.654641,-0.083003,0.042101,-0.009726,-0.437667,1.062333,-0.062000,98843.98,10.76,208.64,37.46281217,126.95850333,0.07,146.50,15:54:06.80,12,0.87,0.00
128452064,5.815108,-7.026988,5.659431,-0.083270,0.039303,-0.007328,-0.438667,1.059000,-0.066667,98843.98,10.76,208.64,37.46281217,126.95850333,0.07,146.50,15:54:06.80,12,0.87,0.00
128487708,5.764812,-7.062913,5.697752,-0.085135,0.042767,-0.010392,-0.436000,1.065333,-0.065667,98844.32,10.76,208.61,37.46281217,126.95850333,0.06,146.50,15:54:06.84,12,0.87,0.00
128491961,5.774392,-7.089258,5.621111,-0.082737,0.043700,-0.006662,0.000000,0.000000,ovf,98844.32,10.76,208.61,37.46281217,126.95850333,0.06,146.50,15:54:06.84,12,0.90,0.00
128527483,5.748047,-7.050938,5.664221,-0.085002,0.044366,-0.007328,-0.437667,1.070333,-0.058333,98844.08,10.76,208.63,37.46281217,126.95850333,0.06,146.50,15:54:06.88,12,0.90,0.00
128531757,5.724097,-7.005433,5.618716,-0.084335,0.041435,-0.008260,-0.438667,1.069333,-0.061000,98844.08,10.76,208.63,37.46281217,126.95850333,0.06,146.50,15:54:06.88,12,0.90,0.00
128567753,5.805528,-7.077283,5.604346,-0.084469,0.040236,-0.007727,-0.439000,1.062333,-0.066667,98844.08,10.76,208.63,37.46281217,126.95850333,0.09,146.50,15:54:06.92,12,0.90,0.00
128572010,5.728887,-7.086863,5.657036,-0.084602,0.041168,-0.009060,-0.441667,1.066000,-0.065667,98844.08,10.76,208.63,37.46281217,126.95850333,0.09,146.60,15:54:06.92,12,0.90,0.00
128612825,5.743257,-7.031778,5.630691,-0.083802,0.043700,-0.007994,-0.440000,1.063667,-0.064333,98845.50,10.76,208.51,37.46281200,126.95850333,0.15,146.60,15:54:06.96,12,0.90,0.00
128617091,5.745652,-7.055728,5.611531,-0.085401,0.043034,-0.010925,0.000000,0.000000,32.038635,98845.50,10.76,208.51,37.46281200,126.95850333,0.15,146.60,15:54:06.96,12,0.90,0.00
128645856,5.779182,-7.015013,5.625901,-0.084335,0.039436,-0.007861,-0.440000,1.065333,-0.064333,98845.50,10.76,208.51,37.46281217,126.95850333,0.02,146.60,15:54:07.00,12,0.90,0.00
128650100,5.733677,-7.010222,5.748047,-0.086467,0.043034,-0.011325,-0.443333,1.065333,-0.061000,98845.50,10.76,208.51,37.46281217,126.95850333,0.02,146.60,15:54:07.00,12,0.90,0.00
128687431,5.791157,-7.038963,5.671406,-0.085801,0.043833,-0.005596,-0.434333,1.067000,-0.067333,98844.83,10.76,208.57,37.46281217,126.95850333,0.11,146.60,15:54:07.04,12,0.90,0.00
128691703,5.743257,-7.065308,5.611531,-0.085268,0.040636,-0.008527,0.000000,0.000000,32.038635,98844.83,10.76,208.57,37.46281217,126.95850333,0.11,146.60,15:54:07.04,12,0.90,0.00
128731669,5.767207,-7.062913,5.589976,-0.085135,0.041568,-0.010392,-0.437667,1.064333,-0.061000,98846.48,10.77,208.43,37.46281217,126.95850333,0.11,146.60,15:54:07.08,12,0.90,0.00
128735905,5.757627,-7.062913,5.776787,-0.086067,0.043034,-0.009859,-0.437667,1.065333,-0.062667,98846.48,10.77,208.43,37.46281217,126.95850333,0.11,146.60,15:54:07.08,12,0.90,0.00
128768265,5.757627,-7.046148,5.633086,-0.084868,0.041435,-0.007194,-0.443333,1.062667,-0.063667,98846.48,10.77,208.43,37.46281217,126.95850333,0.06,146.60,15:54:07.12,12,0.90,0.00
128772561,5.774392,-7.070098,5.649851,-0.082337,0.041035,-0.008926,-0.440000,1.061667,-0.063667,98846.48,10.77,208.43,37.46281217,126.95850333,0.06,146.60,15:54:07.12,12,0.90,0.00
128807873,5.771997,-7.038963,5.645061,-0.084602,0.039170,-0.009992,-0.434333,1.067667,-0.066667,98847.03,10.76,208.38,37.46281217,126.95850333,0.07,146.60,15:54:07.16,12,0.90,0.00
128812141,5.764812,-7.086863,5.654641,-0.084335,0.043700,-0.010126,0.000000,0.000000,32.038635,98847.03,10.76,208.38,37.46281217,126.95850333,0.07,146.60,15:54:07.16,12,0.90,0.00
128852711,5.791157,-7.060518,5.601951,-0.082470,0.042900,-0.011591,-0.440667,1.067667,-0.063667,98842.32,10.76,208.78,37.46281200,126.95850333,0.07,146.60,15:54:07.20,12,0.90,0.00
128887987,5.760022,-7.046148,5.597161,-0.084868,0.038504,-0.008660,-0.434333,1.065333,-0.062667,98842.32,10.76,208.78,37.46281217,126.95850333,0.19,146.60,15:54:07.24,12,0.90,0.00
128892228,5.771997,-7.058123,5.561235,-0.083936,0.042501,-0.006928,-0.435333,1.067667,-0.059000,98842.32,10.76,208.78,37.46281217,126.95850333,0.19,146.60,15:54:07.24,12,0.90,0.00
128928485,5.786367,-7.055728,5.630691,-0.083802,0.040103,-0.009726,-0.438667,1.062333,-0.064333,98846.02,10.76,208.47,37.46281217,126.95850333,0.09,146.60,15:54:07.28,12,0.90,0.00
